id,user,ranking,rankingReason,priorUse,romanUrduUsage,urduScriptUsage,urduContexts,otherCommunication,accessDifficulty,urduContent,langaugeUse,langaugeAcq,birthYear,gender,feedback
1,1,"[""IME"", ""CRULP"", ""WINDOWS""]","Roman Keyboard was designed exactly in a way that I use regularly in my life. Phonetics one still made sense and made it easy to find words using their sound, But the WIndows' one was the most difficult to comprehend and use.","[""WINDOWS""]",Always,Sometimes,"Mainly WhatsApp messages","Urdu is my first language and I communicate in Urdu on daily basis.",Agree,"Mainly online articles and YouTube videos.","Urdu
English
Panjabi","Urdu
Panjabi
English",2006,Female,"No issue"
2,2,"[""IME"", ""CRULP"", ""WINDOWS""]","Ease of use. I found the first input system the easiest and most efficient to use. The last input system proved to be extremely cumbersome for me to follow. ","[""IME""]","Very Often",Sometimes,"Whatsapp messages","In person conversations, voice messages, written notes",Neutral,"Social media posts, digital poetry compilations, urdu podcasts","English - bilingual/native proficiency
Arabic (professional working proficiency)
Urdu (professional working proficiency) - mother tongue","Urdu
English
Arabic
",1982,Female,Nil
3,3,"[""IME"", ""CRULP"", ""WINDOWS""]","The roman urdu input was the easiest because I usually type in roman urdu.
The phonetic keyboard was my 2nd choice because it was easy to locate the urdu letters.
The frequency keyboard was my last choice because it was challenging to locate the letters at first.","[""WINDOWS""]","Very Often",Rarely,"whatsapp, messages","voice messages.",Neutral,"social media posts, videos, articles","English
Urdu
Swahili
","English
Urdu
Swahili",2002,Female,No
4,5,"[""IME"", ""CRULP"", ""WINDOWS""]","I am used to using roman writing. My speed also influenced my decision. 
CRULP makes sense that's why I could easily use it because it has coherence of English and Urdu phonics. ","[""CRULP""]","Very Often",Sometimes,"WhatsApp messages only","Yes, sometimes I use voice messages. ",Agree,"Poetry, YouTube videos","Urdu, English, Punjabi, Arabic (reading only)","Urdu, English, Punjabi, Arabic (reading only)",1974,Female,"Not applicable"
5,8,"[""CRULP"", ""IME"", ""WINDOWS""]","The best one is the CRULP because the roman alphabet pronunciation matches the sounds that the Urdu alphabet letter makes. 
I least liked the Windows frequency keyboard because that makes no sense. Having a keyboard arranged like that has its own patterns so no need to have the roman alphabet on the same key (it can just have the Urdu one).","[""CRULP""]",Sometimes,Sometimes,"WhatsApp only.","Yes, I speak Urdu on the phone, voice messages, etc. ","Strongly Agree","Stories, short quotes, TV shows, and movies.","English, Urdu, Spanish, and Punjabi. Sometimes need to read Arabic.","Urdu, Arabic (just need to read it, so doesn't take as much time to learn), English, Punjabi, Spanish.",2000,Female,n/a
6,9,"[""CRULP"", ""IME"", ""WINDOWS""]","I am used to the phonetic keyboard.  ","[""CRULP""]","Very Often","Very Often","My own website. On message platforms I tend to use Roman urdu.  ","No to electronic communication.  Conversation 50-50 urdu English.  ","Strongly Agree","Poetry website.  pdf books.  ","English, Urdu, Hindi, Telugu, Japanese, Faarsi.  ","Urdu, English, Hindi, Telugu, Faarsi, Japanese.  ",1944,Male,"None. "
7,10,"[""CRULP"", ""IME"", ""WINDOWS""]","Making it phonetics based is more logical and closer to how we write in Urdu. IME was a very very close second.","[""CRULP"", ""IME""]","Very Often",Sometimes,"Any messaging app or email.","Voice messages, talking in Urdu as it is my native language.","Strongly Agree","Messages, poetry, books in Urdu, newspaper for some urdu columnists. ","Urdu, English","Urdu, English",1983,M,"That last keyboard. UGH!"
8,11,"[""IME"", ""CRULP"", ""WINDOWS""]","Based on the closest sounds of the English letter to the Urdu letter that I was typing. I did not like the frequency based keyboard because it was not linked to phonetics at all and the letters that were the easiest to use were the ones that matched the phonetics in Urdu. ","[""CRULP""]","Very Often",Sometimes,"Whatsapp messages, Rekhta, online Urdu dictionaries","Voice messages and gifs/images of poetry","Strongly Disagree","Digital books, social media posts, newspapers (the Wire Urdu edition), Youtube videos","English - Urdu
Turkish
Japanese
French","Urdu
English
Sindhi (lost)
Arabic (Quran only at first, but I can read and write modern standard)
French
Japanese 
Turkish",1987,"Female (Not identifying as a woman)","I wish instead of typing sentences with the Urdu keyboard, we first started out by typing words so that we could have more time to get accustomed to the CRULP and frequency based keyboards and wouldn't struggle so much on the first 3-4 sentences"
9,12,"[""IME"", ""CRULP"", ""WINDOWS""]","i liked both the IME and CRULP a lot. I have prior experience with the CRULP, so part of is that I'm used to it. But it also seems intuitive to match the urdu letters to the english sounds. I think the reality is that most people type Urdu in romanized letters quite often while texting, so this system takes advantage of that. I didn't think I would like the IME, but it was surprisingly intuitive, and it took the ""texting Urdu"" to another level by making it easier to type roman and have it come out as Urdu. It was definitely clunky around certain Urdu sounds that aren't always pronounced, like 'ain, or around words that are borrowed into Urdu like ""Iliad."" But overall it was surprisingly easy to use. The windows one is good in theory, but because of the dominance of romanized Urdu in my personal use, it's too much of an initial input to learn the placement of the letters. It may work better for someone who uses Romanized Urdu less in their daily life.","[""CRULP""]","Very Often",Sometimes,"mostly whatsapp messages
i also study urdu, so i sometimes type both roman urdu and urdu script for my research (usually in a word document)","i speak Urdu on the phone with my mom",Agree,"online articles, rekhta.com","English
Punjabi
Urdu
Spanish
Gujarati
Hindi
Persian","English (native)
Urdu (learned as a teenager in university)
Gujarati (learned informally with family after acquiring urdu)
Hindi (learned informally/self taught)
Spanish (self taught)
Persian (learned in graduate classes and a summer immersion program)
Punjabi (learned from my in-laws and by living in Punjab for 6 months - now my primary language at home)",1986,female,""
10,13,"[""IME"", ""CRULP"", ""WINDOWS""]","The Roman Urdu input was the easiest to use, phonetic keyboard the second easiest and the frequency keyboard was the hardest to get a hang of.",[],Rarely,Never,"WhatsApp messages","Yes, voice messages",Disagree,"social media posts","English, Urdu, Hindi",Urdu,2001,Female,""
