sentence,log10_score,perplexity,position,set_number
ہم سب ان کے بارے جانتے میں ہیں,-2.2332940101623535,96.63851133565412,start,0
اس شخص نے کہا میں نے آپ کو معاف کیا ۔,-1.6073755784468218,29.745934245232803,start,0
ساسانی جب تک طاقتور رہے، ہن ساسانیوں کے باج گزار رہے۔,-4.5453175631436435,14673.749456694079,end,0
یہ عمارت زراعت کے ترقی یافتہ ہونے کا ثبوت ہے۔,-2.642835998535156,252.68425443689384,middle,0
آج وہ یاد گار ایک کمرے کی شکل میں محفوظ ہے۔,-2.6434771797873755,264.96433151248334,middle,0
جو ظلم تو سہتا ہے بغاوت نہیں کرتا,-1.372552752494812,16.597661039757423,start,0
نامیاتی کھادوں کے باعث پیدا ہونے والی آلودگی,-3.402698278427124,1058.32898841052,end,0
تجارتی خسارہ ختم ہوا اور معاشی بہتری میں تسلسل آیا۔,-2.5950035095214843,228.60940828782654,middle,0
انہوں نے ایلیاڈ اور اوڈیسی جیسی شاہکار رزمیہ نظمیں لکھیں تھیں۔,-4.104143316095525,5782.709465899482,end,0
پٹریاں ممباسا سے کمپالا کی جانب جاتی ہیں۔,-4.202064037322998,5434.605615184587,end,0
جناب یہ تو استعمال کریں گے تو پتا چلے گا,-1.6564132690429687,32.05016314751755,start,0
سلیم بھائی آپ سے بہت کچھ سیکھنے کا موقع ملتا ہے,-1.2619432969526811,14.347669217125562,start,0
میں جیسا چاہتا ہوں ویسا موسم ڈھونڈ لیتا ہوں,-2.6598167419433594,247.64813843458822,middle,1
تاہم مختلف ممالک میں اس کی تعریف یکساں نہیں۔,-2.5749600728352866,207.71318521590408,middle,1
ہاں یہ تو آپ نے بلکل ٹھیک کہا,-1.3436577320098877,15.644526687518523,start,1
یہ تو کسی ناول کا نام لگتا ہے,-1.3853920698165894,17.039608710588137,start,1
میری طرف سے یہ پھول آپ کے لئے,-1.5698119401931763,24.85354774385415,start,1
ہاکنگ نے ایک چیلنج دنیائے طبیعیات کو بھی دیا۔,-4.213417477077908,6195.490984907296,end,1
بلوچستان کی بڑی زبانیں بلوچی، پشتو، براہوی اور فارسی ہیں۔,-4.326039123535156,8565.699600072421,end,1
جس سے ساری کہانی میں مزہ پیدا ہوتا ہے۔,-2.6315224965413413,233.54482417480028,middle,1
اسپین میں زیادہ تر لوگ مسیحی مذہب کو مانتے ہیں۔,-2.5833385467529295,223.09487207052072,middle,1
ٹیکسلا کے راجا امبھی نے سکندر کی اطاعت تھی۔,-3.978621164957682,3808.54462361464,end,1
ہم اپنے آپ کو محفوظ سمجھیں یا قیدی,-2.659228563308716,231.07806539841454,middle,1
پروفیسر کے سیکرٹری نے سیاہ پکھراج کو تجوری میں رکھوا دیا۔,-4.1640142960981885,6561.650656651995,end,1
اس کی زیادہ سے زیادہ گہرائی ہزار میٹر ہے,-1.63654359181722,29.709082011530263,start,2
گھر کا آنگن حسین خوشیوں سے مہک جائے گا,-2.6405340830485025,237.94724167247207,middle,2
گرمکنڈہ میں سالانہ مشاعروں کے انعقاد میں تعاون۔,-4.287176609039307,6468.798934858112,end,2
گنتی میں اسے سات سو پینسٹھ بولا جاتا ہے۔,-1.3516633775499132,16.462547452134366,start,2
روایتی اور نوتخلیقی پتنگیں، بانس اور کپڑے سے بنتی ہیں۔,-4.153763198852539,5972.392791248914,end,2
پاکستان ٹیلی ویژن نیٹ ورک مندرجہ ذیل چینلز نشر کرتا ہے۔,-2.6283694180575283,256.64844260615604,middle,2
وہ آخری منگ شہنشاہ ، چونگ زہن کی بیٹی تھی۔,-4.20878791809082,6701.481679092478,end,2
کئی تصانیف پر تبصرے، تنقید اور مراسلے لکھنے لگے۔,-4.2328978644476996,6450.718316958217,end,2
ان کا تعلق پاکستان کے صوبہ سندھ سے تھا,-1.4533627827962239,20.324810472436713,start,2
وہ مسلسل چھ دہائیوں تک ادب کی خدمت کرتے رہے ۔,-2.576387058604847,229.97897660551766,middle,2
اک شخص سارے شہر کو ویران کر گیا,-1.5972774028778076,26.29069917509552,start,2
انہوں نے کہا کہ نہیں یہ فضول خرچی ہوگی۔,-2.413160112169054,148.54023304731038,middle,2
