sentence,estimate
کرت پور کی مجموعی آبادی افراد پر مشتمل ہے,0.13536875864817147
فلٹن نیو یارک کا رقبہ مربع کیلومیٹر ہے ہے,0.11149272649431939
نارتھ ناظم آباد ریلوے اسٹیشن پاکستان میں واقع ہے۔,0.10907621392716997
فتح شاہ پور ہالٹ ریلوے اسٹیشن پاکستان میں واقع ہے,0.08662825526553514
اسکین صفحہ نمبر 84 : کتاب ص 84 : ٹائپنگ مکمل از نایاب,0.08551786660417837
اسکین صفحہ نمبر 86 : کتاب ص 86 : ٹائپنگ مکمل از نایاب,0.08480201099828195
گنتی میں اسے تین سو نوے بولا جاتا ہے۔,0.08146391226152504
گنتی میں اسے سات سو چھیانوے بولا جاتا ہے۔,0.07790178586983754
گنتی میں اسے سات سو تینتالیس بولا جاتا ہے۔,0.07726882926774233
اسکین صفحہ نمبر 253 : کتاب ص 253 : ٹائپنگ مکمل از,0.07630882114262531
گنتی میں اسے سات سو پینسٹھ بولا جاتا ہے۔,0.07569712593752811
اللہ آپ کو جلد صحت کاملہ عطا فرمائے آمین,0.07518110805928177
اسکین صفحہ نمبر 55 : کتاب ص 60 ٹائپنگ مکمل از شمشاد,0.07042709920392248
گنتی میں اسے چار سو چوراسی بولا جاتا ہے۔,0.07021243799121729
منڈی رحمی شاہ ریلوے اسٹیشن پاکستان میں واقع ہے,0.06792817247096135
فضل الرحمن کو آخری دفعہ پایا گیا : جنوری 25 ، 2011,0.06767625330645748
رسول اللہ صلی اللہ علیہ و علی آلہ وسلم نے فرمایا:,0.06515471470693285
انڈین پریمئیر لیگ پانچواں میچ چنائے سپر کنگز بمقابلہ ممبئی انڈینز,0.06507004091093499
گنتی میں اسے ایک ہزار اٹھتر بولا جاتا ہے۔,0.06472028873912751
اسکین صفحہ 84 : کتاب ص 166 : ٹائپنگ مکمل از محمد امین,0.06427230114518673
سمہ سٹہ جنکشن ریلوے اسٹیشن پاکستان میں واقع ہے۔,0.06391162357487344
اسکین صفحہ : 171 کتاب ص 65 ٹائپنگ مکمل از مقدس,0.06377674338628066
گنتی میں اسے ایک ہزار ستانوے بولا جاتا ہے۔,0.0622121499064096
مانو کو آخری دفعہ پایا گیا : جون 30 ، 2008,0.061547331185183435
گنتی میں اسے نو سو انہتر بولا جاتا ہے۔,0.059995753519520696
شاہدہ اکرم کو آخری دفعہ پایا گیا : جون 2 ، 2010,0.058414170963553
گنتی میں اسے آٹھ سو سڑسٹھ بولا جاتا ہے۔,0.05802084131034971
ناز کو آخری دفعہ پایا گیا : دسمبر 13 ، 2008,0.05747543810821565
جلو جو چنرڈ ریلوے اسٹیشن پاکستان میں واقع ہے۔,0.05595970032315405
گنتی میں اسے آٹھ سو نوے بولا جاتا ہے۔,0.05530302882699931
نوری لال ہالٹ ریلوے اسٹیشن نوری لال میں واقع ہے,0.0535331177277617
ڈاکٹر طاہر القادری شیخ الاسلام ڈاکٹر محمد طاہر القادری نے کہا ۔,0.05276601188756974
گنتی میں اسے ایک سو سات بولا جاتا ہے۔,0.05232978487848302
ریاض آباد ریلوے اسٹیشن ریاض آباد میں واقع ہے,0.051836506981082255
شیئر کرنے کے لئے بہت شکریہ طارق شاہ بھائی,0.05163726640475623
راجہ عبدالرحمن کو آخری دفعہ پایا گیا : جنوری 27 ، 2014,0.050533805379712006
اک انسان کو آخری دفعہ پایا گیا : جولائی 17 ، 2011,0.04823456540243963
گوجرانوالہ ریلوے اسٹیشن پاکستان کے شہر گوجرانوالہ میں واقع ہے۔,0.04788244120678216
فالکن کو آخری دفعہ پایا گیا : جون 1 ، 2010,0.04758131961170909
اسکین صفحہ 191 : کتاب ص 390 : ٹائپنگ مکمل از شمشاد,0.046949646752606745
